year,state_name,district_name,district_code,block_name,block_code,village_name,village_code,N,N_low_pct,N_medium_pct,N_high_pct,N_samples,P,P_low_pct,P_medium_pct,P_high_pct,P_samples,K,K_low_pct,K_medium_pct,K_high_pct,K_samples,ph,ph_acidic_pct,ph_neutral_pct,ph_alkaline_pct,ph_samples,organic_carbon_pct,zinc_deficient_pct,iron_deficient_pct,boron_deficient_pct,copper_deficient_pct,manganese_deficient_pct,sulphur_deficient_pct,deficient_micronutrients,saline_pct,total_samples
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Ghatahua Kalan,347242,22.0,60.0,40.0,0.0,5,56.2,0.0,80.0,20.0,5,32.0,0.0,100.0,0.0,5,6.8,0.0,100.0,0.0,5,0.6599999999999999,20.0,0.0,0.0,60.0,0.0,0.0,Copper,0.0,60
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Raja Ghatahua,347243,16.166666666666668,83.3,16.7,0.0,36,52.44444444444444,0.0,94.4,5.6,36,24.47222222222222,58.3,38.9,2.8,36,6.758333333333334,2.8,97.2,0.0,36,0.5402777777777777,2.8,0.0,66.7,0.0,0.0,0.0,Boron,0.0,432
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Sarkoni,347244,20.333333333333332,66.7,33.3,0.0,3,68.33333333333333,0.0,33.3,66.7,3,32.0,0.0,100.0,0.0,3,6.3,33.3,66.7,0.0,3,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Patariya,347245,19.142857142857142,71.4,28.6,0.0,77,52.35064935064935,0.0,94.8,5.2,77,27.636363636363637,31.2,68.8,0.0,77,6.385526315789474,27.6,72.4,0.0,76,0.5941558441558441,74.0,0.0,70.1,2.7,0.0,1.3,"Zinc,Boron",0.0,919
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Karma,347247,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,18.0,100.0,0.0,0.0,1,6.8,0.0,100.0,0.0,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Bhilma,347249,17.555555555555557,77.8,22.2,0.0,9,53.888888888888886,0.0,88.9,11.1,9,30.444444444444443,11.1,88.9,0.0,9,6.8,0.0,100.0,0.0,9,0.6388888888888888,22.2,0.0,0.0,22.2,0.0,0.0,,0.0,108
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Nau Bhilma,347250,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Nawadih,347252,12.0,100.0,0.0,0.0,1,51.0,0.0,100.0,0.0,1,32.0,0.0,100.0,0.0,1,6.8,0.0,100.0,0.0,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Sonpura,347253,15.448275862068966,86.2,13.8,0.0,29,60.86206896551724,0.0,62.1,37.9,29,30.551724137931036,10.3,89.7,0.0,29,6.644827586206896,10.3,89.7,0.0,29,0.5344827586206896,27.6,0.0,27.6,0.0,0.0,0.0,,0.0,348
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Jamua,347257,12.0,100.0,0.0,0.0,8,77.0,0.0,0.0,100.0,8,25.0,50.0,50.0,0.0,8,6.425,25.0,75.0,0.0,8,0.4125,25.0,0.0,50.0,12.5,0.0,0.0,Boron,0.0,96
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Baliyari,347260,16.13907284768212,83.4,16.6,0.0,151,55.10526315789474,0.0,84.2,15.8,152,29.473684210526315,22.4,75.0,2.6,152,6.721052631578947,5.3,94.7,0.0,152,0.5927631578947368,23.7,0.0,29.6,0.0,1.3,0.0,,0.0,1823
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Patila,347262,18.640625,73.4,26.6,0.0,64,57.09375,0.0,76.6,23.4,64,25.21875,48.4,51.6,0.0,64,6.8,0.0,100.0,0.0,64,0.5666666666666668,25.0,0.0,20.3,0.0,0.0,0.0,,0.0,765
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Semaura,347263,15.571428571428571,85.7,14.3,0.0,7,65.85714285714286,0.0,42.9,57.1,7,28.0,28.6,71.4,0.0,7,6.8,0.0,100.0,0.0,7,0.6214285714285713,14.3,0.0,14.3,0.0,0.0,14.3,,0.0,84
2024-25,Jharkhand,Garhwa,328,Kandi,3123,Sonpurwa,347267,18.25,75.0,25.0,0.0,4,57.5,0.0,75.0,25.0,4,28.5,25.0,75.0,0.0,4,6.425,25.0,75.0,0.0,4,0.6875,25.0,0.0,0.0,25.0,0.0,0.0,,0.0,48
